TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,CustomerAge_Binned_Encoded,Target
14.09,2023-04-11 16:29:14,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,2024-11-04 08:08:08,3,1
376.24,2023-06-27 16:44:19,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,2024-11-04 08:09:35,3,2
126.29,2023-07-10 18:16:08,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,2024-11-04 08:07:04,0,2
184.5,2023-05-05 16:32:11,Debit,Raleigh,Online,26.0,Student,25.000000000000004,1.0,8569.06,2024-11-04 08:09:06,0,1
13.45,2023-10-16 17:51:24,Credit,Atlanta,Online,45.0,Student,198.0,1.0,7429.4,2024-11-04 08:06:39,1,0
92.15,2023-04-03 17:15:01,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.68,2024-11-04 08:06:36,0,1
7.08,2023-02-15 16:36:48,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,2024-11-04 08:10:09,1,1
171.42,2023-05-08 17:47:59,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,2024-11-04 08:10:55,3,1
106.23,2023-03-21 16:59:46,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,2024-11-04 08:11:14,2,1
815.96,2023-03-31 16:06:57,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8800000000001,2024-11-04 08:06:32,2,1
17.78,2023-03-14 16:46:10,Credit,Albuquerque,Online,52.0,Engineer,59.00000000000001,1.0,7599.5199999999995,2024-11-04 08:06:45,2,1
190.02,2023-02-06 17:30:00,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,2024-11-04 08:07:12,0,1
494.52,2023-06-07 17:21:28,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,2024-11-04 08:08:38,0,2
781.76,2023-11-20 16:39:15,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.69,2024-11-04 08:07:06,0,0
166.99,2023-02-13 16:53:57,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.93,2024-11-04 08:10:09,0,1
465.45,2023-12-12 16:23:31,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,2024-11-04 08:12:19,1,0
555.8,2023-10-30 16:52:49,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.26,2024-11-04 08:07:35,0,0
492.93,2023-12-14 18:32:14,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,2024-11-04 08:11:51,1,0
18.68,2023-02-21 16:56:50,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.369999999999,2024-11-04 08:12:01,2,1
71.48,2023-06-08 18:18:50,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,2024-11-04 08:09:20,0,2
59.32,2023-02-28 16:36:58,Debit,Los Angeles,Branch,71.0,Retired,37.99999999999999,1.0,5750.89,2024-11-04 08:09:24,3,1
85.77,2023-08-11 18:31:31,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,2024-11-04 08:08:13,1,2
52.2,2023-06-06 18:54:15,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,2024-11-04 08:07:01,1,2
345.84,2023-05-02 18:25:46,Debit,Fort Worth,Online,22.0,Student,142.0,3.0,1402.5,2024-11-04 08:07:04,0,1
145.54,2023-03-02 16:43:56,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,2024-11-04 08:07:09,0,1
7.49,2023-10-20 17:53:13,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,2024-11-04 08:09:44,3,0
246.93,2023-04-17 16:37:01,Debit,Miami,ATM,23.0,Student,158.0,5.0,673.3499999999999,2024-11-04 08:11:38,0,1
40.32,2023-03-29 16:42:38,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,2024-11-04 08:11:59,1,1
127.45,2023-01-24 16:18:32,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,2024-11-04 08:11:22,1,1
56.17,2023-09-20 16:55:42,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,2024-11-04 08:08:30,0,0
28.31,2023-07-17 17:49:22,Credit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,2024-11-04 08:09:17,2,2
59.12,2023-02-06 16:24:24,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,2024-11-04 08:06:58,1,1
396.45,2023-09-25 16:26:00,Debit,New York,ATM,49.0,Engineer,168.00000000000003,3.0,9690.15,2024-11-04 08:11:13,2,0
877.81,2023-03-13 17:23:24,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,2024-11-04 08:07:50,0,1
255.26,2023-10-27 16:42:49,Credit,San Francisco,Branch,45.0,Doctor,50.00000000000001,1.0,14815.87,2024-11-04 08:10:51,1,0
124.76,2023-10-16 16:32:56,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,2024-11-04 08:06:23,2,0
78.13,2023-11-21 16:58:44,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.61,2024-11-04 08:12:18,0,0
649.28,2023-03-02 17:53:32,Debit,San Jose,ATM,75.0,Retired,137.0,1.0,4875.86,2024-11-04 08:11:15,3,1
795.31,2023-10-12 17:07:40,Debit,Mesa,ATM,66.0,Doctor,90.0,2.0,7914.879999999999,2024-11-04 08:11:17,3,0
335.63,2023-01-24 17:17:20,Debit,Oklahoma City,Online,55.0,Retired,215.99999999999997,1.0,1019.39,2024-11-04 08:07:32,2,1
328.47,2023-07-31 18:39:50,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,2024-11-04 08:07:31,3,2
34.02,2023-01-09 16:13:21,Debit,Philadelphia,Online,38.0,Doctor,18.999999999999996,1.0,14214.48,2024-11-04 08:11:45,1,1
241.42000000000002,2023-04-20 18:57:43,Credit,Charlotte,Online,57.0,Doctor,116.00000000000001,1.0,13357.02,2024-11-04 08:09:03,2,1
55.32,2023-04-12 16:03:37,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.79000000000002,2024-11-04 08:08:03,0,1
304.31,2023-07-26 16:52:28,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.61,2024-11-04 08:09:53,0,2
435.27,2023-10-04 17:49:29,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,2024-11-04 08:11:12,3,0
164.49,2023-12-13 16:01:38,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,2024-11-04 08:10:33,0,0
510.23999999999995,2023-10-09 16:29:40,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.7,2024-11-04 08:11:35,0,0
626.9,2023-11-27 16:45:57,Debit,Denver,Online,26.0,Student,138.0,1.0,265.51,2024-11-04 08:07:24,0,0
22.01,2023-03-27 16:45:18,Credit,Sacramento,Online,41.0,Engineer,175.0,1.0,1335.09,2024-11-04 08:06:31,1,1
425.34,2023-02-13 16:59:39,Credit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.5399999999995,2024-11-04 08:07:07,3,1
424.56,2023-02-21 17:45:55,Debit,Omaha,Online,51.0,Engineer,264.0,1.0,5183.85,,2,1
85.43,2023-06-07 16:45:34,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,2024-11-04 08:06:45,3,2
169.5,2023-09-07 16:51:27,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8799999999999,2024-11-04 08:08:58,1,2
104.63,2023-03-29 17:47:16,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,2024-11-04 08:10:42,3,1
316.95,2023-08-04 17:53:40,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.03,2024-11-04 08:09:15,0,2
60.540000000000006,2023-12-14 17:52:37,Credit,Columbus,Branch,57.0,Retired,52.00000000000001,1.0,3534.93,2024-11-04 08:09:57,2,0
292.56,2023-03-03 17:37:41,Credit,Dallas,Branch,68.0,Retired,61.00000000000001,1.0,4638.37,2024-11-04 08:07:49,3,1
386.52,2023-06-09 16:18:15,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,2024-11-04 08:07:09,2,2
112.07,2023-10-02 16:35:22,Debit,Kansas City,Branch,23.0,Student,51.00000000000001,1.0,930.3,2024-11-04 08:11:37,0,0
568.52,2023-10-06 18:44:37,Debit,Indianapolis,ATM,46.0,Engineer,151.99999999999997,1.0,5499.91,,2,0
263.99,2023-05-16 16:07:30,Debit,Dallas,Branch,79.0,Retired,227.0,2.0,4175.02,2024-11-04 08:11:03,3,2
349.64,2023-11-07 16:48:23,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,2024-11-04 08:08:09,2,0
601.4,2023-05-30 17:43:25,Credit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,2024-11-04 08:08:01,2,2
5.77,2023-11-02 16:01:40,Debit,Charlotte,Online,50.0,Doctor,123.99999999999999,1.0,13988.12,2024-11-04 08:11:32,2,0
201.33,2023-03-29 17:00:31,Credit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,2024-11-04 08:11:41,1,1
298.42,2023-04-25 16:11:24,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,2024-11-04 08:10:12,2,1
521.06,2023-04-18 18:40:47,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,2024-11-04 08:12:10,0,1
117.28,2023-02-09 16:34:53,Credit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,2024-11-04 08:07:11,3,1
189.12,2023-11-13 16:42:28,Credit,Indianapolis,,32.0,Engineer,103.0,1.0,977.01,2024-11-04 08:08:42,1,0
133.55,2023-07-18 16:12:00,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.2800000000007,2024-11-04 08:10:18,1,2
143.21,2023-01-13 17:00:16,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,2024-11-04 08:09:26,1,1
24.77,2023-07-04 18:20:33,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,2024-11-04 08:12:15,3,2
233.92,2023-10-20 16:54:28,Credit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,2024-11-04 08:08:45,0,0
211.36,2023-10-04 16:36:29,Debit,Indianapolis,Branch,20.0,Student,24.0,1.0,605.9499999999999,2024-11-04 08:06:51,0,0
232.12,2023-12-28 17:31:03,Debit,,ATM,37.0,Engineer,51.00000000000001,1.0,6689.87,2024-11-04 08:09:17,1,0
211.36,2023-06-12 17:53:52,Debit,Kansas City,Online,22.0,Student,113.0,1.0,634.17,2024-11-04 08:08:22,0,2
91.53,2023-03-13 16:32:12,Debit,Milwaukee,Branch,44.0,Doctor,69.00000000000001,1.0,14676.05,2024-11-04 08:11:36,1,1
120.29,2023-12-18 18:46:27,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.39,2024-11-04 08:06:50,0,0
174.25,2023-07-17 18:54:31,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,2024-11-04 08:10:29,2,2
183.71,2023-06-19 18:22:10,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.52,2024-11-04 08:09:51,1,2
345.39,,Credit,Phoenix,,58.0,Engineer,80.0,1.0,6451.96,2024-11-04 08:08:16,2,0
211.36,2023-01-23 16:32:48,Debit,Detroit,ATM,63.0,Retired,87.0,1.0,4715.84,2024-11-04 08:11:07,3,1
259.91,2023-11-06 16:34:10,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,2024-11-04 08:09:38,2,0
154.71,2023-07-03 16:40:24,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.72,2024-11-04 08:09:42,1,2
211.36,2023-09-29 17:22:10,Credit,Austin,Online,54.0,Engineer,30.0,1.0,8654.28,2024-11-04 08:06:53,2,0
24.56,2023-10-20 17:27:35,Debit,Mesa,Branch,64.0,Doctor,69.00000000000001,1.0,9869.93,2024-11-04 08:12:05,3,0
568.07,2023-08-28 17:03:53,,Washington,ATM,48.0,Doctor,115.0,1.0,10556.81,2024-11-04 08:07:32,2,2
9.61,2023-06-22 18:37:29,Credit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,2024-11-04 08:09:10,2,2
392.96,2023-11-20 16:28:09,Debit,Kansas City,Online,24.0,Student,100.00000000000001,1.0,791.65,2024-11-04 08:08:38,0,0
